id,businessName,website,address,address2,city,state,postal,country,phone,fax,latitude,longitude,email
1,DB Design,http://www.phpscriptindex.com,639 Redwood Ave,,Myrtle Beach,SC,29579,USA,(555) 555 - 5555,(800) 555 - 5555,33.655452,-78.943693,
6,Best Buy (Store 855),http://www.bestbuy.com,1145 Oak Forest Lane,,Myrtle Beach,SC,29577,USA,(843) 626-9357,,33.72875,-78.854049,
7,Best Buy (Store 826),http://www.bestbuy.com,2701 David H Mcleod Blvd,,Florence,SC,29501-4028,USA,(843) 661-5199,,34.188529,-79.828382,
5,Wal-Mart Supercenter Store #2712,http://www.walmart.com,Seaboard Street,,Myrtle Beach,SC,29577,USA,(843) 445-7781,,33.71258,-78.8953,
8,Best Buy (Store 378),http://www.bestbuy.com,309 S College Rd,,Wilmington,NC,28403-1601,USA,(910) 790-2021,,34.237216,-77.872153,
9,Best Buy (Store 517),http://www.bestbuy.com,7612 Rivers Ave,,North Charleston,SC,29406,USA,(843) 553-9299,,32.936855,-80.039249,
10,Best Buy (Store 174),http://www.bestbuy.com,2034 Skibo Rd,,Fayetteville,NC,28314,USA,(910) 868-3707,,35.056653,-78.972413,
11,Best Buy (Store 1120 Citadel Mall SC),http://www.bestbuy.com,1987 Sam Rittenberg Blvd,,Charleston,SC,29407-4860,USA,(843) 763-4338,,32.795163,-80.027317,
12,Best Buy (Store 601),http://www.bestbuy.com,11088 N Us Highway 15 501,,Aberdeen,NC,28315,USA,910-693-2745,,35.126292,-79.430585,
13,Best Buy (Store 805),http://www.bestbuy.com,1116 Western Blvd,,Jacksonville,NC,28546-6654,USA,910-478-3145,,34.780221,-77.395689,
14,Wal-Mart Supercenter Store #574,http://www.walmart.com,2751 Beaver Run Blvd,,Surfside,SC,29575,USA,(843) 650-4800,,33.646305,-78.978434,
